id,source,sender,subject,body,timestamp,category,priority_label,action_required,action_text,label_source,confidence,decision_path
sms_1,sms,VM-EDQFIX,(none),"Dear VASAM SIDDHARTHA Your account is added on QFIX by PARUL UNIVERSITY - PARUL UNIVERSITY- COLLEGE FEE. User name: PARULU210304124418, Password: VASAMSIDDHARTHA2642022. Pay your fee online at https://apps.eduqfix.com/l/ParulInstitute - Please use Chrome or Safari browser.-Qfix",2022-08-04T11:15:18+00:00,notification,low,0,,rule+llm_disagree,0.92,rule+llm_disagree
sms_2,sms,919909503138,(none),"Dear Customer, You have a missed call from +919909503138 The last missed call was at 09:13 AM on 27-Nov-2024 Thankyou, Team Jio.",2024-11-27T09:15:50+00:00,notification,low,0,,rule+llm_agree,0.98,rule+llm_agree
sms_3,sms,VM-MCLBLZ,(none),"Dear User, We got whey better deal for you! Shop Biozyme Whey range @ Flat Rs. 200 off w/code: BZ200: u3.mnge.co/z3j2lWZ -MuscleBlaze",2024-11-27T11:34:15+00:00,notification,low,0,,rule+llm_disagree,0.92,rule+llm_disagree
sms_4,sms,AX-AxisBk,(none),"INR 60.00 debited A/c no. XX4634 27-11-24, 11:54:02 UPI/P2A/060622972234/MANDALA GANESH Not you? SMS BLOCKUPI Cust ID to 919951860002 Axis Bank",2024-11-27T11:54:03+00:00,transaction,high,1,Verify transaction; SMS BLOCKUPI if unauthorised.,rule+llm_agree,0.98,rule+llm_agree
sms_5,sms,919963797471,(none),"Dear Customer, +919963797471 is now available to take calls.",2024-11-27T12:21:26+00:00,notification,low,0,,rule+llm_agree,0.98,rule+llm_agree
sms_6,sms,JD-AXISBK,(none),"INR 10.00 debited A/c no. XX4634 27-11-24, 12:29:13 UPI/P2M/644258140954/Jay Ambe Provision Not you? SMS BLOCKUPI Cust ID to 919951860002 Axis Bank",2024-11-27T12:29:18+00:00,transaction,high,1,Verify transaction; SMS BLOCKUPI if unauthorised.,rule+llm_agree,0.98,rule+llm_agree
sms_7,sms,JX-620046,(none),"Introducing New ISD minute packs for USA, Canada, Australia, New Zealand, UAE, Saudi Arabia and other popular countries. Packs starting at just Rs. 39. Applicable on prepaid & postpaid Jio numbers. To know more about ISD packs and to Recharge Visit: www.jio.com/r/z9EBimpFt",2024-11-27T13:31:07+00:00,transaction,high,1,Verify transaction details and report if unauthorised.,rule+llm_disagree,0.92,rule+llm_disagree
sms_8,sms,AX-AxisBk,(none),"INR 50.00 debited A/c no. XX4634 27-11-24, 14:14:03 UPI/P2M/873712469384/Shree Sai Petroleum Not you? SMS BLOCKUPI Cust ID to 919951860002 Axis Bank",2024-11-27T14:14:10+00:00,transaction,high,1,Verify transaction; SMS BLOCKUPI if unauthorised.,rule+llm_agree,0.98,rule+llm_agree
sms_9,sms,CP-TNCRMA,(none),"Hi Vasam, Thank God It's Black Friday sale at Croma! Shop till you blackout. Enjoy upto 60% off on Electronics. T&C http://m.tneu.in/TNCRMA/o8P0nwX",2024-11-27T14:30:48+00:00,promotion,low,0,,rule+llm_agree,0.98,rule+llm_agree
sms_10,sms,AX-AxisBk,(none),"INR 200.00 debited A/c no. XX4634 27-11-24, 15:43:49 UPI/P2A/984525841340/VUTUKURI NITHIN SUR Not you? SMS BLOCKUPI Cust ID to 919951860002 Axis Bank",2024-11-27T15:43:51+00:00,transaction,high,1,Verify transaction; SMS BLOCKUPI if unauthorised.,rule+llm_agree,0.98,rule+llm_agree
sms_11,sms,AX-AXISBK,(none),"INR 10.00 debited A/c no. XX4634 27-11-24, 15:45:47 UPI/P2M/115102419833/BARKATULLA GRAIN  P Not you? SMS BLOCKUPI Cust ID to 919951860002 Axis Bank",2024-11-27T15:45:48+00:00,transaction,high,1,Verify transaction; SMS BLOCKUPI if unauthorised.,rule+llm_agree,0.98,rule+llm_agree
sms_12,sms,AD-AxisBk,(none),"INR 180.00 debited A/c no. XX4634 27-11-24, 16:19:46 UPI/P2M/612270666380/BALJITSINH YANTRIPR Not you? SMS BLOCKUPI Cust ID to 919951860002 Axis Bank",2024-11-27T16:19:48+00:00,transaction,high,1,Verify transaction; SMS BLOCKUPI if unauthorised.,rule+llm_agree,0.98,rule+llm_agree
sms_13,sms,916304314741,(none),"Dear Customer, You have a missed call from +916304314741 The last missed call was at 04:49 PM on 27-Nov-2024 Thankyou, Team Jio.",2024-11-27T17:16:08+00:00,notification,low,0,,rule+llm_agree,0.98,rule+llm_agree
sms_14,sms,AX-AxisBk,(none),"INR 15.00 debited A/c no. XX4634 27-11-24, 21:47:33 UPI/P2M/175799393882/Jay Ambe Provision Not you? SMS BLOCKUPI Cust ID to 919951860002 Axis Bank",2024-11-27T21:47:35+00:00,transaction,high,1,Verify transaction; SMS BLOCKUPI if unauthorised.,rule+llm_agree,0.98,rule+llm_agree
sms_15,sms,919603848790,(none),"Dear Customer, You have a missed call from +919603848790 The last missed call was at 10:05 PM on 27-Nov-2024 Thankyou, Team Jio.",2024-11-27T22:06:34+00:00,notification,low,0,,rule+llm_agree,0.98,rule+llm_agree
sms_16,sms,CP-AXISBK,(none),"INR 100.00 debited A/c no. XX4634 28-11-24, 01:07:54 UPI/P2M/638363297847/Rajasthan Kulfi Hou Not you? SMS BLOCKUPI Cust ID to 919951860002 Axis Bank",2024-11-28T01:07:57+00:00,transaction,high,1,Verify transaction; SMS BLOCKUPI if unauthorised.,rule+llm_agree,0.98,rule+llm_agree
sms_17,sms,AD-AXISBK,(none),"INR 100.00 debited A/c no. XX4634 28-11-24, 01:59:48 UPI/P2M/855773432029/KIRANKUMAR DEVSHANK Not you? SMS BLOCKUPI Cust ID to 919951860002 Axis Bank",2024-11-28T01:59:49+00:00,transaction,high,1,Verify transaction; SMS BLOCKUPI if unauthorised.,rule+llm_agree,0.98,rule+llm_agree
sms_18,sms,+918328343614,(none),+919392829667,2024-11-28T08:14:14+00:00,notification,low,0,,llm,0.95,llm
sms_19,sms,919100822377,(none),"Dear Customer, You have a missed call from +919100822377 The last missed call was at 09:12 AM on 28-Nov-2024 Thankyou, Team Jio.",2024-11-28T09:17:25+00:00,notification,low,0,,rule+llm_agree,0.98,rule+llm_agree
sms_20,sms,AX-AXISBK,(none),"INR 1000.00 debited A/c no. XX4634 28-11-24, 12:26:36 UPI/P2M/406444798517/TRIOS Not you? SMS BLOCKUPI Cust ID to 919951860002 Axis Bank",2024-11-28T12:26:38+00:00,transaction,high,1,Verify transaction; SMS BLOCKUPI if unauthorised.,rule+llm_agree,0.98,rule+llm_agree
sms_21,sms,AD-AXISBK,(none),"INR 200.00 debited A/c no. XX4634 28-11-24, 12:54:06 UPI/P2M/543021333951/A TO Z MOBILE Not you? SMS BLOCKUPI Cust ID to 919951860002 Axis Bank",2024-11-28T12:54:07+00:00,transaction,high,1,Verify transaction; SMS BLOCKUPI if unauthorised.,rule+llm_agree,0.98,rule+llm_agree
sms_22,sms,JA-JIOVOC,(none),"ప్రియమైన కస్టమర్, www.jio.com/r/z93AsvHkD పై క్లిక్  చేసి, Jio నెట్‌వర్క్‌లో మీ అనుభవాన్ని మరింత మెరుగ్గా ఎలా చేయగలమో మాకు తెలియచేయండి. ధన్యవాదాలు,  టీమ్ Jio",2024-11-28T13:01:03+00:00,notification,low,0,,rule+llm_disagree,0.92,rule+llm_disagree
sms_23,sms,AX-AXISBK,(none),"INR 320.00 debited A/c no. XX4634 28-11-24, 13:49:34 UPI/P2M/491808827585/SURESH CHANDRAN Not you? SMS BLOCKUPI Cust ID to 919951860002 Axis Bank",2024-11-28T13:49:36+00:00,transaction,high,1,Verify transaction; SMS BLOCKUPI if unauthorised.,rule+llm_agree,0.98,rule+llm_agree
sms_24,sms,AX-AxisBk,(none),"INR 40.00 debited A/c no. XX4634 28-11-24, 14:31:20 UPI/P2M/026743029498/Shree Sai Petroleum Not you? SMS BLOCKUPI Cust ID to 919951860002 Axis Bank",2024-11-28T14:31:22+00:00,transaction,high,1,Verify transaction; SMS BLOCKUPI if unauthorised.,rule+llm_agree,0.98,rule+llm_agree
sms_25,sms,CP-AXISBK,(none),"INR 10.00 debited A/c no. XX4634 28-11-24, 16:53:06 UPI/P2M/918668820434/DILIP KUMAR SAXE Not you? SMS BLOCKUPI Cust ID to 919951860002 Axis Bank",2024-11-28T16:53:09+00:00,transaction,high,1,Verify transaction; SMS BLOCKUPI if unauthorised.,rule+llm_agree,0.98,rule+llm_agree
sms_26,sms,JK-620016,(none),"Recharge today your Jio no 6304993823  with Rs.3599 True 5G Unlimited Yearly Plan (2.5 GB/day & Unlimited 5G Data, Unlimited Voice with 365 Days validity). Use Google Pay app to recharge. T&CA. https://gpay.app.goo.gl/iKubSd",2024-11-28T17:02:37+00:00,promotion,low,0,,rule+llm_disagree,0.92,rule+llm_disagree
sms_27,sms,AX-AXISBK,(none),"INR 15.00 debited A/c no. XX4634 28-11-24, 17:39:18 UPI/P2M/325107352157/DARSHIT TELECOM SER Not you? SMS BLOCKUPI Cust ID to 919951860002 Axis Bank",2024-11-28T17:39:20+00:00,transaction,high,1,Verify transaction; SMS BLOCKUPI if unauthorised.,rule+llm_agree,0.98,rule+llm_agree
sms_28,sms,AX-AXISBK,(none),"INR 1500.00 debited A/c no. XX4634 28-11-24, 18:00:44 UPI/P2A/469929118155/PRAJAPATI  VISHARTH Not you? SMS BLOCKUPI Cust ID to 919951860002 Axis Bank",2024-11-28T18:00:46+00:00,transaction,high,1,Verify transaction; SMS BLOCKUPI if unauthorised.,rule+llm_agree,0.98,rule+llm_agree
