id,source,sender,subject,body,timestamp,category,priority_label,action_required,action_text,label_source,confidence,decision_path
sms_1,sms,JD-620040-P,(none),మీరు అపరిమిత 5G డేటాని కోల్పోతున్నారు!!  మీ 5G ఫోన్‌లో మీ ప్రస్తుత ప్లాన్ నిజమైన అపరిమిత 5G డేటాని అందించదు.  కేవలం Rs.51 యాడ్-ఆన్‌తో రీచార్జ్ చేయండి మరియు మీ మిగిలిన ప్లాన్ వ్యాలిడిటీ లోను వేగవంతమైన అపరిమిత 5G ని ఆస్వాదించండి..  త్వరపడండి ! ఇప్పుడే రీచార్జ్ చేయండి www.jio.com/r/B4vHke3c4,2025-10-16T19:36:40+00:00,notification,low,0,,rule+llm_disagree,0.92,rule+llm_disagree
sms_2,sms,VA-SBIBNK-S,(none),"Dear SBI Customer, Scammers may pose as police officials and may threaten you of digital arrest. Do not fall for such scams. Call 1930 to report such incidents.",2025-10-16T17:28:01+00:00,notification,low,0,,rule+llm_agree,0.98,rule+llm_agree
sms_3,sms,JA-JioPay-S,(none),డేటా వినియోగ అప్రమత్తత! 16-Oct-25 17:11 నాటికి రోజువారీ డేటాలో 50% ఉపయోగించబడింది! Jio నంబర్: 6304993823 రోజువారీ డేటా కోటా: 1.50 GB డేటా ఆదా చిట్కాల కోసం: http://tiny.jio.com/Savingtl మీ డేటా బ్యాలెన్స్ మరియు వినియోగాన్ని ట్రాక్ చేయడానికి: http://tiny.jio.com/mobile,2025-10-16T17:11:39+00:00,notification,low,0,,rule+llm_disagree,0.92,rule+llm_disagree
sms_4,sms,JA-JioPay-S,(none),Data usage Alert! 50% of your daily data used as of 16-Oct-25 17:11 Jio Number: 6304993823 Daily Quota: 1.50 GB For data saving tips: http://tiny.jio.com/Savingasm Track your data balance and usage: http://tiny.jio.com/mobile,2025-10-16T17:11:33+00:00,notification,high,1,Verify data used.,rule+llm_agree,0.98,rule+llm_agree
sms_5,sms,JA-JIOINF-S,(none),"వ్యక్తిగత సమాచారాన్ని పంచుకోవాలని కోరే మోసపూరిత కాల్స్ / సందేశాల పట్ల జాగ్రత్త వహించండి. ఏ థర్డ్ పార్టీ యాప్ ను డౌన్ లోడ్ చేసుకోమని Jio మిమ్మల్ని అడగదు. ఎస్ఎంఎస్, కాల్ లేదా ఇమెయిల్ ద్వారా Jio పంపే ఏదైనా కమ్యూనికేషన్ Jio.com లేదా మైజియో యాప్ వెలుపల తెరుచుకునే లింక్లను క్లిక్ చేయమని మిమ్మల్ని అడగదు. ఏవైనా సందేహాలుంటే మైజియో యాప్ లోకి లాగిన్ అయి సంబంధిత సమాచారం కోసం వెతకాలని సిఫార్సు చేస్తున్నాం. అప్రమత్తంగా ఉండండి, సురక్షితంగా ఉండండి.",2025-10-16T16:49:53+00:00,notification,low,0,,rule+llm_agree,0.98,rule+llm_agree
sms_6,sms,VA-EKARTL-S,(none),"Ekart Update : The Roadster Life Co. Men R... with tracking ID MYSC1219867849 from Myntra will be delivered today before 11pm (call 02248887777, PIN 109).",2025-10-16T11:13:52+00:00,shopping,high,1,Your item is out for delivery,rule+llm_agree,0.98,rule+llm_agree
sms_7,sms,JK-620040-P,(none),మీరు అపరిమిత 5G డేటాని కోల్పోతున్నారు!!  మీ 5G ఫోన్‌లో మీ ప్రస్తుత ప్లాన్ నిజమైన అపరిమిత 5G డేటాని అందించదు.  కేవలం Rs.51 యాడ్-ఆన్‌తో రీచార్జ్ చేయండి మరియు మీ మిగిలిన ప్లాన్ వ్యాలిడిటీ లోను వేగవంతమైన అపరిమిత 5G ని ఆస్వాదించండి..  త్వరపడండి ! ఇప్పుడే రీచార్జ్ చేయండి www.jio.com/r/B36gMeMYf,2025-10-15T17:18:49+00:00,transaction,high,1,Verify transaction details and report if unauthorised.,rule+llm_disagree,0.92,rule+llm_disagree
sms_8,sms,VK-EKARTL-S,(none),"Ekart Update: OTP 265817 for your shipment Greenchef Pearl Special Com... with tracking id FMPC5343634160. Share the OTP only after checking for damages, duplicate or missing items. Product cannot be returned after order is accepted except for manufacturing defects.",2025-10-15T12:34:41+00:00,security,high,1,Verify the item; Then share the OTP.,rule+llm_agree,0.98,rule+llm_agree
sms_9,sms,VM-EKARTL-S,(none),"Ekart Update: OTP 265817 for your shipment Greenchef Pearl Special Com... with tracking id FMPC5343634160. Share the OTP only after checking for damages, duplicate or missing items. Product cannot be returned after order is accepted except for manufacturing defects.",2025-10-15T12:33:32+00:00,security,low,1,,rule+llm_agree,0.98,rule+llm_agree
sms_10,sms,VM-EKARTL-S,(none),"Ekart Update: OTP 265817 for your shipment Greenchef Pearl Special Com... with tracking id FMPC5343634160. Share the OTP only after checking for damages, duplicate or missing items. Product cannot be returned after order is accepted except for manufacturing defects.",2025-10-15T12:32:14+00:00,security,high,1,Verify the item; Then share the OTP.,rule+llm_agree,0.98,rule+llm_agree
