id,source,sender,subject,body,timestamp,category,priority_label,action_required,action_text,label_source,confidence,decision_path,parsed_ts,received_date
1994e3749ad2464c,gmail,Google <no-reply@accounts.google.com>,Security alert,"[image: Google]
You allowed Google Drive for desktop access to some of your Google Account
data


siddhuking0207@gmail.com

If you didn't allow Google Drive for desktop access to some of your Google
Account data, someone else may be trying to access your Google Account data.

Take a moment now to check your account activity and secure your account.
Check activity
<https://accounts.google.com/AccountChooser?Email=siddhuking0207@gmail.com&continue=https://myaccount.google.com/alert/nt/1757953868000?rfn%3D127%26rfnc%3D1%26eid%3D-2296844994189637412%26et%3D0>
To make changes at any time to the access that Google Drive for desktop has
to your data, go to your Google Account
<https://accounts.google.com/AccountChooser?Email=siddhuking0207@gmail.com&continue=https://myaccount.google.com/connections/overview/AXgE0HO49F6S7BwFpj-Oiow3dQEReR83FceiJ5ZM7obQniXufva-EkUU1CMMDNoA7H2yNnLzb-6OQwgB6oEcLAUXDFk?utm_source%3Dsec_alert%26utm_medium%3Demail_notification%26force_all%3Dtrue>
You can also see security activity at
https://myaccount.google.com/notifications
You received this email to let you know about important changes to your
Google Account and services.
© 2025 Google LLC, 1600 Amphitheatre Parkway, Mountain View, CA 94043, USA
",2025-09-15T16:31:08+00:00,security,high,1,Review security notification / change password if needed,rule+llm_agree,0.98,rule+llm_agree,2025-09-15 16:31:08+00:00,2025-09-15
19948ec15a8527dd,gmail,Telegram <noreply@telegram.org>,Your Code - 32994,"Dear Vicky,

Your code is: 32994. Use it to access your account.

If you didn't request this, simply ignore this message.

Yours,
The Telegram Team
",2025-09-14T15:50:54+00:00,security,high,1,Ignore this message if not requested,llm,0.98,llm,2025-09-14 15:50:54+00:00,2025-09-14
1993d2a5c39da966,gmail,Telegram <noreply@telegram.org>,Your Code - 42246,"Dear Vicky,

Your code is: 42246. Use it to access your account.

If you didn't request this, simply ignore this message.

Yours,
The Telegram Team
",2025-09-12T09:03:29+00:00,transaction,medium,1,Ignore this message if not requested,llm,0.95,llm,2025-09-12 09:03:29+00:00,2025-09-12
199397e83605a09b,gmail,Telegram <noreply@telegram.org>,Your Code - 71401,"Dear Vicky,

Your code is: 71401. Use it to access your account.

If you didn't request this, simply ignore this message.

Yours,
The Telegram Team
",2025-09-11T15:56:55+00:00,transaction,medium,1,Ignore this message if not requested,llm,0.95,llm,2025-09-11 15:56:55+00:00,2025-09-11
19938dfcc81410ce,gmail,"""Jerry Lee, Wonsulting"" <jerrylee@wonsulting.com>",8 interviews in 14 days (how we did it),"Hey Siddhartha,
=C2=A0
Jerry=E2=80=A6=C2=A0
I've been applying for four months and only got two interviews.=C2=A0
What am I doing wrong?

=C2=A0
That text came from my friend Tiff last month. Despite having Google and Ze=
ndesk on her resume, her job search had completely stalled.

Tiff and I met back in 2018 when our teams collaborated at Google, and we'v=
e stayed close ever since.

https://app.wonsulting.ai/community?resume=3Dc725a8b7-7676-4ee1-b796-9dc18b=
9fe410

Us at Google, 2018

=C2=A0
So when she told me she needed help getting interviews, I had to step in. N=
ot as ""Jerry the co-founder,"" but like our coaching team would for any clie=
nt.

We treated her search like a project.

Here's what we did differently:

=E2=9C=93 Define: We picked one target role she'd be excited about and comp=
etitive for.
=E2=9C=93 Package: We rebuilt her resume to the role's success criteria and=
 synced LinkedIn to match.
=E2=9C=93 Launch: We shipped a tight, 50-company application sprint with hi=
gh-fit companies only.

Two weeks later? She's gotten 8+ interviews (=E2=89=8816% interview rate).

=C2=A0
And she's now in final rounds at multiple companies.

When I think about it, Tiff=E2=80=99s biggest hurdle was mindset.=C2=A0

She had been undervaluing her seniority and market value. Our work surfaced=
 wins she had been downplaying and put them front and center.=C2=A0
=C2=A0
I've been there myself.
=C2=A0
When I was job searching, I wish I had someone to help coach me.=C2=A0

I wish I had someone help me realize that I'd been underselling myself and =
targeting the wrong roles.

Sometimes you need that second pair of eyes to see your blind spots.

If your search feels stuck too, remember this framework:

=E2=9C=93 Define one specific role (and its success metrics)
=E2=9C=93 Package your achievements to mirror those metrics (resume + Linke=
dIn)
=E2=9C=93 Launch a short, intense, high-fit sprint

That's what we do at ",2025-09-11T13:03:34+00:00,work,high,1,Respond or prepare deliverables,rule+llm_disagree,0.92,rule+llm_disagree,2025-09-11 13:03:34+00:00,2025-09-11
19938b47f14c83e3,gmail,Nick Saraev <nick@leftclick.ai>,The $5k hiring system (sell to clients),"Today we’ve got another banger Client Ready Workflow for you.

My 7-figure Hiring System.

I like this one for 2 reasons:

* Companies who are hiring are making money. AKA they have money
and can pay for your service.
* Hiring is a hassle…finding the right people, interviews,
updates. AKA it’s a big problem we can help solve.

You’ll get:

* A workflow breakdown
* The problem the workflow solves
* How it’s structured/how it works
* A template you can grab for free (and sell to your own clients)

Let’s dive in.

I worked with a 7-figure coaching business that had a big issue:

They were drowning in hiring admin work and losing great
candidates because of slow follow-up.

Think of how many companies say “we’ll get back to you in 3 days”
but don’t get back to candidates for 2 weeks.

I built a complete Hiring Automation System for them.

As a result, they reduced hiring admin from ~15 hours to ~2 hours
per week and improved candidate experience dramatically.

Here’s exactly how it works, why every growing business needs
this, and how you can grab the templates for free.

-----------------------
The Problem This Solves
-----------------------

Some wild stats:

* Stat 1: 70% of job seekers lose interest if they don’t hear
back within one week of an interview (Addison Group)
* Stat 2: 57% of job seekers lose interest when the process drags
on (general study)
* Stat 3: 83% of candidates say a negative interview experience
can change their minds about a role or company they once liked
(LinkedIn)

Which means:

* If you’re slow, you’ll lose applicants
* If you have a bad process, you’ll lose applicants
* If you lose the best applicants, your business will start
underperforming

You can see how this becomes a negative spiral.

What does this tell us?

That by automating your hiring process, you will close better
candidates faster.

--------------------
How The System Works
--------------------

Here’s the co",2025-09-11T12:16:16+00:00,work,high,1,Respond or prepare deliverables,rule+llm_disagree,0.92,rule+llm_disagree,2025-09-11 12:16:16+00:00,2025-09-11
199382479739b49a,gmail,Telegram <noreply@telegram.org>,Your Code - 95941,"Dear Vicky,

Your code is: 95941. Use it to access your account.

If you didn't request this, simply ignore this message.

Yours,
The Telegram Team
",2025-09-11T09:38:57+00:00,security,high,1,Ignore this message if not requested,llm,0.98,llm,2025-09-11 09:38:57+00:00,2025-09-11
199372381ba46905,gmail,Napkin AI <contact@napkin.ai>,Introducing New Mindmaps in Napkin 🚀,"More formats, better orientations, and easier editing for your most-loved visual

Napkin AI Coloured Logo
[https://img.mmdocdn.com/mailmodo/image/upload/ar_568:103,c_crop/v1733926653/editor/p/7648eefe-a944-4e2f-92a7-d39fc3042024/872baa8974466b843efd0d5299424ff0_p3dnir.png]https://www.napkin.ai/

Hi Siddhartha,

 

Today, we're excited to share a massive upgrade to one of your most-loved
visuals: Mindmaps. As our most generated visual type, many of you have been
asking for more flexibility. That’s why we've expanded beyond a single format to
give you multiple designs, each with various styles, orientations, and the
ability to edit them easily.

A video showing Napkin's new mindmaps
[https://img.mmdocdn.com/mailmodo/image/upload/ar_600:337,c_crop/v1757400829/editor/p/7648eefe-a944-4e2f-92a7-d39fc3042024/b4a10347fbb9144b1094b8f20e81d98e_o3l0t0.png]https://youtu.be/zhl7enbyohk

Here’s what's new:

 

 * More mindmap formats with extensive style options: Napkin now generates
   significantly more mindmap formats and associated styles that not only look
   great but can capture different levels of detail and complexity in your
   ideas, ensuring you can choose the perfect visual for your content.
    
 * Choose from multiple orientation options: New mindmaps support horizontal,
   vertical, and compact formats designed to fit seamlessly in documents,
   presentations, social posts, and reports, so your mindmaps work perfectly
   wherever you need them.
    
 * Simplified editing that maintains layouts: Traditional mindmaps break when
   you edit them due to their complex node structures. With our new mindmaps,
   you can add or modify content without breaking the visual structure -
   mindmaps automatically adjust spacing and organization as you edit.

 

These improvements make mindmap creation much faster and easier - so you spend
less time formatting and more time developing your ideas.

 

We'd love your feedback

Try the new mindmaps now at Napkin.ai [https://napkin.",2025-09-11T04:58:17+00:00,work,high,1,Respond or prepare deliverables,rule+llm_disagree,0.92,rule+llm_disagree,2025-09-11 04:58:17+00:00,2025-09-11
1993370277da9217,gmail,Telegram <noreply@telegram.org>,Your Code - 38518,"Dear Vicky,

Your code is: 38518. Use it to access your account.

If you didn't request this, simply ignore this message.

Yours,
The Telegram Team
",2025-09-10T11:43:30+00:00,security,high,1,Ignore this message if not requested,llm,0.98,llm,2025-09-10 11:43:30+00:00,2025-09-10
1992e93677995e7f,gmail,Wonsulting <hello@wonsulting.com>,💡The Harvard Interview Secret (95% Get Wrong),"[Shadow]

The Harvard Interview Secrets=C2=A0
(That Most Job Seekers Never Learn)

95% of interview preparation advice is backwards.

Everyone tells you to research the company's history, mission, and values.
=C2=A0
But then you sit there regurgitating facts like a Wikipedia page=F0=9F=98=
=85
=C2=A0
Meanwhile, Harvard graduates who actually get hired are doing something ent=
irely different.

They're preparing for interviews the same way consultants prepare for clien=
t meetings.

Here's their approach=F0=9F=91=87

=E2=80=8A

[Shadow]

Five Steps to Interview Prep

#1: Research the people, not just the company

Harvard students don't just research companies. They research people. They =
use LinkedIn to find the actual humans who'll be in the room. What projects=
 are they working on? What challenges keep them up at night?

#2: Master the 70/30 STAR method

You've heard of STAR (Situation, Task, Action, Result). But Harvard student=
s spend 70% of their time on=C2=A0Action, because that's where you prove yo=
ur value.

#3: Prepare 6 detailed stories

Not bullet points. Stories. Harvard students practice until they sound natu=
ral, not rehearsed. Stories about problem-solving, leadership, and bouncing=
 back from failure.

#4: Ask questions that prove you belong

Instead of ""What's the culture like?"" they ask questions like, ""Given your =
expansion into Southeast Asia, how is this role positioned to support that =
growth?""

One question demonstrates strategic thinking. The other proves you did zero=
 research.

#5: Steer the conversation

Harvard students treat interviews as strategic dialogue, not interrogation.=
 They ask follow-up questions. They build on the interviewer's answers. The=
y make it feel like a business meeting between equals.

But there's something even more powerful...
=C2=A0

[Shadow]

The Truth About Hiring Decisions

=C2=A0
Companies don't hire the most qualified person.

They ",2025-09-09T13:03:55+00:00,work,high,1,Respond or prepare deliverables,rule+llm_disagree,0.92,rule+llm_disagree,2025-09-09 13:03:55+00:00,2025-09-09
