sender,count
Google Flights <noreply-travel@google.com>,27
Nick Saraev <nick@leftclick.ai>,25
Unstop Insights <noreply@dare2compete.news>,23
Wonsulting <hello@wonsulting.com>,11
Unstop Hiring Hub <noreply@dare2compete.news>,11
Kaggle <no-reply@kaggle.com>,9
Telegram <noreply@telegram.org>,8
Unstop Practice <noreply@dare2compete.news>,7
pdfFiller <sarah@pdffiller.com>,6
Canva <marketing@engage.canva.com>,5
Lovable <hi@lovable.dev>,4
Kaggle <noreply@kaggle.com>,4
Naukri <info@naukri.com>,3
Google Gemini <google-gemini-noreply@google.com>,3
LeetCode <no-reply@leetcode.com>,3
QuillBot <updates@mail.quillbot.com>,3
Team Unstop <noreply@dare2compete.news>,3
Google AI Studio <googleaistudio-noreply@google.com>,3
Kiro Team <no-reply@amazonaws.com>,3
Lovable <noreply@lovable.dev>,2
