csv_row,xml_position,id,source,sender,subject,body,timestamp,timestamp_ms,category,priority_label,action_required,action_text
1,3172,sms_1,sms,JD-620040-P,(none),మీరు అపరిమిత 5G డేటాని కోల్పోతున్నారు!!  మీ 5G ఫోన్‌లో మీ ప్రస్తుత ప్లాన్ నిజమైన అపరిమిత 5G డేటాని అందించదు.  కేవలం Rs.51 యాడ్-ఆన్‌తో రీచార్జ్ చేయండి మరియు మీ మిగిలిన ప్లాన్ వ్యాలిడిటీ లోను వేగవంతమైన అపరిమిత 5G ని ఆస్వాదించండి..  త్వరపడండి ! ఇప్పుడే రీచార్జ్ చేయండి www.jio.com/r/B4vHke3c4,2025-10-16 19:36:40,1760623600695,,,,
2,3171,sms_2,sms,VA-SBIBNK-S,(none),"Dear SBI Customer, Scammers may pose as police officials and may threaten you of digital arrest. Do not fall for such scams. Call 1930 to report such incidents.",2025-10-16 17:28:01,1760615881434,,,,
3,3170,sms_3,sms,JA-JioPay-S,(none),డేటా వినియోగ అప్రమత్తత! 16-Oct-25 17:11 నాటికి రోజువారీ డేటాలో 50% ఉపయోగించబడింది! Jio నంబర్: 6304993823 రోజువారీ డేటా కోటా: 1.50 GB డేటా ఆదా చిట్కాల కోసం: http://tiny.jio.com/Savingtl మీ డేటా బ్యాలెన్స్ మరియు వినియోగాన్ని ట్రాక్ చేయడానికి: http://tiny.jio.com/mobile,2025-10-16 17:11:39,1760614899505,,,,
4,3169,sms_4,sms,JA-JioPay-S,(none),Data usage Alert! 50% of your daily data used as of 16-Oct-25 17:11 Jio Number: 6304993823 Daily Quota: 1.50 GB For data saving tips: http://tiny.jio.com/Savingasm Track your data balance and usage: http://tiny.jio.com/mobile,2025-10-16 17:11:33,1760614893840,,,,
5,3168,sms_5,sms,JA-JIOINF-S,(none),"వ్యక్తిగత సమాచారాన్ని పంచుకోవాలని కోరే మోసపూరిత కాల్స్ / సందేశాల పట్ల జాగ్రత్త వహించండి. ఏ థర్డ్ పార్టీ యాప్ ను డౌన్ లోడ్ చేసుకోమని Jio మిమ్మల్ని అడగదు. ఎస్ఎంఎస్, కాల్ లేదా ఇమెయిల్ ద్వారా Jio పంపే ఏదైనా కమ్యూనికేషన్ Jio.com లేదా మైజియో యాప్ వెలుపల తెరుచుకునే లింక్లను క్లిక్ చేయమని మిమ్మల్ని అడగదు. ఏవైనా సందేహాలుంటే మైజియో యాప్ లోకి లాగిన్ అయి సంబంధిత సమాచారం కోసం వెతకాలని సిఫార్సు చేస్తున్నాం. అప్రమత్తంగా ఉండండి, సురక్షితంగా ఉండండి.",2025-10-16 16:49:53,1760613593588,,,,
6,3167,sms_6,sms,VA-EKARTL-S,(none),"Ekart Update : The Roadster Life Co. Men R... with tracking ID MYSC1219867849 from Myntra will be delivered today before 11pm (call 02248887777, PIN 109).",2025-10-16 11:13:52,1760593432578,,,,
7,3166,sms_7,sms,JK-620040-P,(none),మీరు అపరిమిత 5G డేటాని కోల్పోతున్నారు!!  మీ 5G ఫోన్‌లో మీ ప్రస్తుత ప్లాన్ నిజమైన అపరిమిత 5G డేటాని అందించదు.  కేవలం Rs.51 యాడ్-ఆన్‌తో రీచార్జ్ చేయండి మరియు మీ మిగిలిన ప్లాన్ వ్యాలిడిటీ లోను వేగవంతమైన అపరిమిత 5G ని ఆస్వాదించండి..  త్వరపడండి ! ఇప్పుడే రీచార్జ్ చేయండి www.jio.com/r/B36gMeMYf,2025-10-15 17:18:49,1760528929176,,,,
8,3165,sms_8,sms,VK-EKARTL-S,(none),"Ekart Update: OTP 265817 for your shipment Greenchef Pearl Special Com... with tracking id FMPC5343634160. Share the OTP only after checking for damages, duplicate or missing items. Product cannot be returned after order is accepted except for manufacturing defects.",2025-10-15 12:34:41,1760511881045,,,,
9,3164,sms_9,sms,VM-EKARTL-S,(none),"Ekart Update: OTP 265817 for your shipment Greenchef Pearl Special Com... with tracking id FMPC5343634160. Share the OTP only after checking for damages, duplicate or missing items. Product cannot be returned after order is accepted except for manufacturing defects.",2025-10-15 12:33:32,1760511812890,,,,
10,3163,sms_10,sms,VM-EKARTL-S,(none),"Ekart Update: OTP 265817 for your shipment Greenchef Pearl Special Com... with tracking id FMPC5343634160. Share the OTP only after checking for damages, duplicate or missing items. Product cannot be returned after order is accepted except for manufacturing defects.",2025-10-15 12:32:14,1760511734148,,,,
11,3162,sms_11,sms,JA-DOTGOI-G,(none),Check mobile connections issued in your name and report connections which are not required. Download Sanchar Saathi App today. Android: https://play.google.com/store/apps/details?id=com.dot.app.sancharsaathi iOS: https://apps.apple.com/in/app/sanchar-saathi/id6739700695,2025-10-15 12:10:14,1760510414460,,,,
12,3161,sms_12,sms,VM-EKARTL-S,(none),"Ekart Update : Greenchef Pearl Special Com... with tracking ID FMPC5343634160 from flipkart.com will be delivered today before 11pm (call 02248887777, PIN 104). Share OTP 265817 only to accept order after checking that there are No Damages, Missing or Wrong items at the doorstep. Returns will not be accepted for these reasons once the order is delivered.",2025-10-15 09:32:12,1760500932700,,,,
